indicador_id,indicador,variable_id,variable,polaridad,municipio_id,municipio,anio_anterior,valor_anterior,anio_reciente,valor_reciente,cambio_porcentual,cambio_ajustado,lectura_dss
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,102,Nealtican,2015,89.3183,2020,93.8705,5.0966039434248,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,103,"Nicolás Bravo",2015,90.9979,2020,94.6104,3.9698718322071,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,104,Nopalucan,2015,96.359,2020,94.1354,-2.3076204609844,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,105,Ocotepec,2015,90.39,2020,92.0197,1.8029649297489,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,106,Ocoyucan,2015,90.7401,2020,91.7794,1.1453591080459,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,107,Olintla,2015,93.498,2020,94.7548,1.3441998759332,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,108,Oriental,2015,92.0299,2020,94.6504,2.84744414587,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,109,Pahuatlán,2015,87.3786,2020,91.2642,4.4468554085325,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,110,"Palmar de Bravo",2015,97.7037,2020,95.958,-1.7867286499897,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,111,Pantepec,2015,92.9851,2020,92.5187,-0.50158573793006,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,112,Petlalcingo,2015,89.0941,2020,92.3473,3.6514202399486,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,113,Piaxtla,2015,94.0727,2020,95.6448,1.67115433064,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,114,Puebla,2015,90.0195,2020,91.706,1.8734829675793,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,115,Quecholac,2015,94.6749,2020,95.7536,1.1393727376528,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,116,Quimixtlán,2015,93.5642,2020,94.461,0.95848625863311,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,117,"Rafael Lara Grajales",2015,92.4039,2020,91.5696,-0.90288396918312,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,118,"Los Reyes de Juárez",2015,95.4717,2020,94.7519,-0.75394069656243,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,119,"San Andrés Cholula",2015,96.8231,2020,92.6362,-4.3242779873811,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,120,"San Antonio Cañada",2015,88.0256,2020,88.6876,0.75205394794242,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,121,"San Diego la Mesa Tochimiltzingo",2015,101.6835,2020,97.205,-4.4043527219264,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,122,"San Felipe Teotlalcingo",2015,91.6774,2020,93.6122,2.1104437953083,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,123,"San Felipe Tepatlán",2015,93.9363,2020,93.1263,-0.86228646433807,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,124,"San Gabriel Chilac",2015,89.2771,2020,90.2683,1.1102511170278,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,125,"San Gregorio Atzompa",2015,95.7623,2020,93.8465,-2.0005785157625,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,126,"San Jerónimo Tecuanipan",2015,90.0789,2020,89.6235,-0.50555679520953,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,127,"San Jerónimo Xayacatlán",2015,87.9301,2020,92.6282,5.3429940373092,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,128,"San José Chiapa",2015,95.9865,2020,95.7084,-0.28972824303419,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,129,"San José Miahuatlán",2015,93.0604,2020,92.08,-1.053509333723,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,130,"San Juan Atenco",2015,85.0303,2020,85.3909,0.42408412060172,,sin_clasificar
